delta,theta,alpha,beta,rms,label
4.4772720888256e-10,7.268458618696324e-11,7.219031668063191e-12,1.1088763129805008e-11,3.416384267420486e-05,5
3.008548694875109e-10,3.7799514645526223e-11,1.0275514809334681e-11,3.1904243319103986e-11,2.443295551010588e-05,5
3.510073907202958e-10,1.9463802693558888e-11,1.1528803425939185e-11,1.772940250717577e-11,2.9213114896504684e-05,5
1.70925300424077e-10,1.65051573814776e-11,1.0940626958953181e-11,7.913651644354334e-12,1.6383480943422205e-05,5
1.6241148997012237e-10,3.251658071754245e-11,9.248746147590601e-12,6.672603570370025e-12,1.6623081603871982e-05,5
3.725856094061281e-10,8.682192848671441e-11,8.478288160811217e-12,1.02442319610257e-11,2.759341746856623e-05,5
4.622607127020688e-10,5.536871436133554e-11,1.0692704693722449e-11,4.3434320941067484e-11,3.0701499322333483e-05,5
4.0053114091503466e-10,3.997286532270661e-11,4.785339970797997e-12,9.479127388545676e-12,3.1097137355366065e-05,5
2.547469330136339e-10,5.1245104024954464e-11,7.103446644514381e-12,1.0399084194390474e-11,2.023523404944745e-05,5
3.327290006876872e-10,3.379084768561807e-11,6.43645103276757e-12,2.015839587196715e-11,2.5912726870917377e-05,5
3.5842392508018983e-10,3.117425669101962e-11,7.217165151351067e-12,1.1801528002415659e-11,3.051200180368063e-05,5
4.2294245633789326e-10,4.334976452834258e-11,7.354716553345675e-12,1.6811657553012356e-11,3.242549728213187e-05,5
4.3970650354824877e-10,5.677431464717789e-11,7.826980773761614e-12,1.4095181293782184e-11,3.1015669604678746e-05,5
2.3360081509770214e-10,3.858464529941221e-11,5.426765487305088e-12,1.2022995097887576e-11,2.554192014942628e-05,5
1.6195351520910416e-10,1.766445159199888e-11,2.483837170317376e-12,6.576131876190784e-12,1.671773856609558e-05,5
2.7015304335126677e-10,2.7852313333957157e-11,7.367356790475046e-12,1.3440871640773382e-11,2.2366150882418442e-05,5
1.72344800464849e-10,2.4469191153523305e-11,5.1749023729455906e-12,1.2285495169503818e-11,1.929592395688699e-05,5
3.1809619834674027e-10,3.758634655555498e-11,8.320863724737303e-12,1.6174238862545693e-11,2.566656139182196e-05,5
2.7904593526992126e-10,3.0769433287784875e-11,6.3436294206487535e-12,1.089293429931894e-11,2.355863952302745e-05,5
1.437479335208314e-10,2.2974705895895554e-11,5.3256201181357775e-12,1.753366105826809e-11,1.6554650635766937e-05,5
1.6280921811931323e-10,1.3061910961998857e-11,3.8424634885512155e-12,9.391472301311711e-12,1.854608547349599e-05,5
8.624224530422385e-11,1.4296192384298345e-11,3.7886947466190414e-12,7.224080393381879e-12,1.3226404501430237e-05,5
9.920853240792388e-11,1.0589524565366099e-11,4.658690581539996e-12,1.2660699386232331e-11,1.292048151329416e-05,5
5.173166705421167e-11,1.1110410063784146e-11,4.020126786661998e-12,1.1407793404530675e-11,1.1926212764114531e-05,5
1.6766269845467395e-10,2.0197157054204075e-11,3.700099394125179e-12,9.23136042109057e-12,1.69490252940028e-05,5
2.8682858738152897e-10,2.118570174108256e-11,5.521344039357686e-12,1.0463073295141768e-11,2.5060221763198995e-05,5
1.852829309831256e-10,1.842568426891534e-11,4.792946193629891e-12,1.241040401169755e-11,2.2008597440435638e-05,5
8.342853371735787e-11,1.3728953262206329e-11,4.142574479524957e-12,1.2099857688627185e-11,1.383159173032031e-05,5
1.4088215262670247e-10,2.141958556796426e-11,5.757926161256576e-12,1.1699460111902931e-11,2.0458689778025936e-05,5
2.684054402957838e-10,2.477355566044508e-11,5.24424629415276e-12,1.1868151359522174e-11,2.3741789273216786e-05,5
1.7195016002634984e-10,1.9717034502980553e-11,4.995308593357256e-12,1.2586767809196076e-11,1.998295859209272e-05,5
6.984963306281003e-11,2.1326293169988577e-11,4.766575189788809e-12,1.188798851690656e-11,1.2168281822359257e-05,5
1.4642322530573512e-10,1.5981486968098537e-11,4.117962801733018e-12,1.0631721168423226e-11,1.6983295800013383e-05,5
1.0866251301469551e-10,1.4243875000412485e-11,4.320913457190336e-12,1.1592996419015798e-11,1.608186126299764e-05,5
1.128810731479026e-10,1.6946510063125292e-11,4.564488522953314e-12,8.183919791876437e-12,1.6143494796897185e-05,5
2.754752636128946e-10,2.7840944114287907e-11,6.020944516458309e-12,1.0631229731251811e-11,2.3914304295922043e-05,5
1.7781574105202677e-10,1.8373800214890783e-11,5.613587593974151e-12,1.5433323162375953e-11,2.1302358291628236e-05,5
1.8383626559097127e-10,2.078032224461457e-11,5.4421745867884395e-12,1.032461086808092e-11,1.807597938831671e-05,5
6.295265530649037e-11,1.650522928528027e-11,3.911457849686203e-12,1.349498936075439e-11,1.302977857859445e-05,5
1.4159049549600974e-10,1.8343778934384698e-11,4.228514360587403e-12,1.2268926384527468e-11,1.720979763381101e-05,5
2.6334631217193726e-10,2.460828938188594e-11,6.595331832909547e-12,1.2654785386363643e-11,2.548783791901836e-05,5
2.0962900269324822e-10,1.6292256893646332e-11,4.8977844392365105e-12,9.454399899516872e-12,2.012472676432961e-05,5
